Designator,Mid X,Mid Y,Layer,Rotation
C85,56.7mm,-120.2mm,top,90.0
R185,60.65mm,-111.55mm,top,90.0
U86,72.7mm,-116.0mm,top,0.0
R86,68.9mm,-111.6mm,top,90.0
L86,75.9mm,-111.6mm,top,0.0
D86,75.3mm,-120.2mm,top,180.0
C86,68.7mm,-120.2mm,top,90.0
R186,72.65mm,-111.55mm,top,90.0
U87,84.7mm,-116.0mm,top,0.0
R87,80.9mm,-111.6mm,top,90.0
L87,87.9mm,-111.6mm,top,0.0
D87,87.3mm,-120.2mm,top,180.0
C87,80.7mm,-120.2mm,top,90.0
R187,84.65mm,-111.55mm,top,90.0
U88,96.7mm,-116.0mm,top,0.0
R88,92.9mm,-111.6mm,top,90.0
L88,99.9mm,-111.6mm,top,0.0
D88,99.3mm,-120.2mm,top,180.0
C88,92.7mm,-120.2mm,top,90.0
R188,96.65mm,-111.55mm,top,90.0
U89,108.7mm,-116.0mm,top,0.0
R89,104.9mm,-111.6mm,top,90.0
L89,111.9mm,-111.6mm,top,0.0
D89,111.3mm,-120.2mm,top,180.0
C89,104.7mm,-120.2mm,top,90.0
R189,108.65mm,-111.55mm,top,90.0
U90,120.7mm,-116.0mm,top,0.0
R90,116.9mm,-111.6mm,top,90.0
L90,123.9mm,-111.6mm,top,0.0
D90,123.3mm,-120.2mm,top,180.0
C90,116.7mm,-120.2mm,top,90.0
R190,120.65mm,-111.55mm,top,90.0
U91,132.7mm,-116.0mm,top,0.0
R91,128.9mm,-111.6mm,top,90.0
L91,135.9mm,-111.6mm,top,0.0
D91,135.3mm,-120.2mm,top,180.0
C91,128.7mm,-120.2mm,top,90.0
R191,132.65mm,-111.55mm,top,90.0
U92,144.7mm,-116.0mm,top,0.0
R92,140.9mm,-111.6mm,top,90.0
L92,147.9mm,-111.6mm,top,0.0
D92,147.3mm,-120.2mm,top,180.0
C92,140.7mm,-120.2mm,top,90.0
R192,144.65mm,-111.55mm,top,90.0
U93,156.7mm,-116.0mm,top,0.0
R93,152.9mm,-111.6mm,top,90.0
L93,159.9mm,-111.6mm,top,0.0
D93,159.3mm,-120.2mm,top,180.0
C93,152.7mm,-120.2mm,top,90.0
R193,156.65mm,-111.55mm,top,90.0
U94,168.7mm,-116.0mm,top,0.0
R94,164.9mm,-111.6mm,top,90.0
L94,171.9mm,-111.6mm,top,0.0
D94,171.3mm,-120.2mm,top,180.0
C94,164.7mm,-120.2mm,top,90.0
R194,168.65mm,-111.55mm,top,90.0
U95,180.7mm,-116.0mm,top,0.0
R95,176.9mm,-111.6mm,top,90.0
L95,183.9mm,-111.6mm,top,0.0
D95,183.3mm,-120.2mm,top,180.0
C95,176.7mm,-120.2mm,top,90.0
R195,180.65mm,-111.55mm,top,90.0
U96,192.7mm,-116.0mm,top,0.0
R96,188.9mm,-111.6mm,top,90.0
L96,195.9mm,-111.6mm,top,0.0
D96,195.3mm,-120.2mm,top,180.0
C96,188.7mm,-120.2mm,top,90.0
R196,192.65mm,-111.55mm,top,90.0
U101,46.8375mm,-17.625mm,top,0.0
C121,75.3mm,-127.0mm,top,90.0
U102,88.7mm,-130.0mm,top,0.0
C122,95.3mm,-127.0mm,top,90.0
U103,108.7mm,-130.0mm,top,0.0
C123,115.3mm,-127.0mm,top,90.0
U104,128.7mm,-130.0mm,top,0.0
C124,135.3mm,-127.0mm,top,90.0
U105,148.7mm,-130.0mm,top,0.0
C125,155.3mm,-127.0mm,top,90.0
U106,46.6625mm,-112.725mm,top,0.0
C126,175.3mm,-127.0mm,top,90.0
U110,74.7mm,-150.0mm,top,0.0
C110,60.7mm,-150.0mm,top,0.0
L101,88.4mm,-141.6mm,top,0.0
D101,104.8mm,-153.8mm,top,90.0
C111,96.7mm,-150.0mm,top,0.0
C101,60.7mm,-161.0mm,top,0.0
C102,71.7mm,-161.0mm,top,0.0
C103,82.7mm,-161.0mm,top,0.0
C104,93.7mm,-161.0mm,top,0.0
Q1,198.7mm,-150.0mm,top,0.0
R201,193.7mm,-146.0mm,top,90.0
R202,203.7mm,-146.0mm,top,90.0
D102,198.7mm,-155.0mm,top,0.0
R210,188.7mm,-123.0mm,top,0.0
R211,188.7mm,-126.0mm,top,0.0
SW1,158.7mm,-150.0mm,top,0.0
SW2,170.7mm,-150.0mm,top,0.0
SW3,185.75mm,-153.15mm,top,0.0
LED1,139.65mm,-140.0mm,top,0.0
R203,158.35mm,-133.725mm,top,90.0
LED2,138.25mm,-134.1mm,top,0.0
R204,167.95mm,-133.25mm,top,90.0
LED3,146.3875mm,-145.3mm,top,0.0
R205,180.75mm,-134.85mm,top,90.0
